behav_id,fmri_id
1,12508 
2,12250 
3,12277 
4,12049 
5,12051 
6,12473 
7,12589 
8,12288 
9,12289 
10,12274 
11,12477 
12,12476 
13,12471 
14,12475 
15,12521 
16,12226 
17,12216 
18,13065 
19,12478 
20,12532 
21,12533 
22,12505 
23,12506 
24,12507 
25,12509 
26,12568 
27,12566 
28,12303 
29,12463 
30,12561 
31,12562 
32,12565 
33,12240 
34,12089 
35,12237 
36,12585 
37,12305 
38,12273 
39,12402 
40,12403 
41,12408 
42,13056 
43,13059 
44,12213 
45,12153 
46,12539 
47,12550 
48,12534 
50,12518 
51,12519 
52,12520 
53,12072 
54,12265 
55,12003 
56,12021 
57,12214 
58,12208 
59,12177 
60,12205 
61,12527 
62,12528 
63,12529 
64,12154 
65,12537 
66,12538 
67,12242 
68,12243 
69,12297 
70,12300 
71,12301 
72,12593 
73,12410 
74,12594 
75,12071 
76,12596 
77,12187 
78,12188 
79,12035 
80,13088 
81,12142 
82,12608 
83,12199 
84,12232 
85,12249 
86,12248 
87,12435 
88,12436 
89,13029 
90,13072 
91,12230 
92,12595 
93,12599 
94,12485 
95,12210 
96,12209 
97,12155 
98,12156 
99,12189 
100,12256 
101,13030 
102,12002 
103,12246 
104,12407 
105,12584 
106,12247 
107,13044 
108,12010 
109,12081 
110,12602 
111,13037 
112,12088 
113,13015 
114,13010 
115,13075 
116,12581 
117,12086 
118,13054 
119,12017 
120,12193 
121,13045 
122,13018 
123,13016 
124,12215 
125,13012 
126,13011 
127,12499 
128,12162 
129,12163 
130,12424 
131,12426 
132,12423 
133,13003 
134,12171 
135,12172 
136,12170 
137,12236 
138,13099 
139,13098 
140,12223 
141,12191 
142,12134 
143,12138 
144,12139 
145,12141 
146,13080 
147,13082 
148,13022 
149,12443 
150,13052 
151,13061 
152,12448 
153,12157 
154,12161 
155,13067 
156,13097 
157,13034 
158,13006 
159,12269 
160,12082 
161,12607 
162,12604 
163,12197 
164,12192 
165,12158 
166,12129 
167,12127 
168,12011 
169,12456 
170,12201 
171,12202 
172,12203 
173,12204 
174,12286 
175,13028 
176,12069 
177,13017 
178,13007 
179,12220 
180,12175 
181,12500 
182,12548 
183,12412 
184,12415 
185,12416 
186,12459 
187,12281 
188,13064 
189,12207 
190,12501 
191,12450 
192,12455 
193,12452 
194,12264 
195,12181 
196,12178 
197,13058 
198,13089 
199,12468 
200,12587 
201,12200 
202,12270 
203,12255 
204,13063 
205,12174 
206,12438 
207,13062 
208,12451 
209,12047 
211,12146 
212,12498 
213,12148 
214,12180 
215,12287 
216,12048 
217,13071 
218,13014 
219,12543 
221,12217 
222,13070 
223,12151 
224,13027 
225,12600 
226,12597 
227,13025 
228,13048 
229,12603 
230,12283 
231,13073 
232,13036 
233,12015 
234,12034 
235,13095 
236,12043 
237,12414 
238,12263 
239,12143 
240,12145 
241,12085 
242,13019 
243,13040 
245,12738 
246,12734 
247,12731 
248,12736 
250,12714 
251,12708 
252,12707 
253,12706 
254,12704 
255,12716 
256,12730 
257,12753 
258,12733 
259,12720 
260,12266 
261,12735 
262,12705 
263,12702 
264,12737 
265,12541 
266,12495 
267,12710 
268,12721 
269,12744 
270,12742 
271,12741 
272,12479 
273,12717 
274,12748 
275,12739 
276,12727 
277,12712 
278,12758 
279,12760 
